,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTANCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,13,9,0.18181817355371938,0.05326876500419185,14.884615384615385,29.198966408268735,35.15281256211489,14.884615384615385,113,413,2.10077519379845,5,6.627906976744186
1,2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,24,3,0.7777777489711944,0.07180851044731779,12.428571428571429,33.9080459770115,38.87947454844007,12.428571428571429,118,376,2.2586206896551726,4,6.956896551724138
2,3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,67,20,0.5402298788479324,0.07952468000043447,13.025641025641026,36.51574803149607,41.72600444175248,13.025641025641026,371,1094,2.2923228346456694,13,6.952755905511811
3,4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,12,0,0.9999999166666736,0.04838709657908429,15.533333333333333,35.1931330472103,41.406466380543634,15.533333333333333,82,248,2.3047210300429186,1,7.120171673819742
4,5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,44,14,0.5172413703923902,0.08618127773227151,11.017857142857142,36.79092382495948,41.198066682102336,11.017857142857142,227,673,2.2625607779578605,37,6.917341977309563
5,6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,40,13,0.5094339526521896,0.07817109133013113,12.038461538461538,42.33226837060703,47.14765298599165,12.038461538461538,265,678,2.3961661341853033,3,7.119808306709265
6,7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,46,35,0.1358024674592288,0.0878524944817218,13.870967741935484,37.325581395348834,42.873968492123026,13.870967741935484,321,922,2.305813953488372,2,6.997674418604651
7,8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,55,15,0.5714285632653062,0.06329113918328107,12.487804878048781,39.0625,44.05762195121952,12.487804878048781,400,1106,2.388671875,6,7.0419921875
8,9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,67,10,0.7402597306459775,0.07723169500779169,12.472972972972974,38.24485373781148,43.23404292700067,12.472972972972974,353,997,2.3098591549295775,6,6.845070422535211
9,10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,23,24,-0.021276595291987336,0.1437308864106089,8.342857142857143,37.67123287671233,41.00837573385519,8.342857142857143,110,327,2.3184931506849313,1,6.773972602739726
10,11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,24,4,0.7142856887755111,0.07161125301378196,10.5,39.49579831932773,43.695798319327736,10.5,141,391,2.4089635854341735,1,6.871148459383753
11,12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,28,37,-0.138461536331361,0.08114856419332264,9.824324324324325,27.097661623108667,31.027391352838396,9.824324324324325,197,801,2.0894085281980743,34,6.584594222833562
12,13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,27,21,0.1249999973958334,0.07250755276056262,10.614035087719298,38.51239669421488,42.7580107293026,10.614035087719298,233,662,2.2743801652892564,5,6.687603305785124
13,14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,16,6,0.4545454338842984,0.06874999978515625,10.851851851851851,42.32081911262799,46.66155985336873,10.851851851851851,124,320,2.477815699658703,5,7.334470989761092
14,15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,28,53,-0.3086419714982473,0.10305343498339258,7.361702127659575,34.53757225433526,37.48225310539909,7.361702127659575,239,786,2.2427745664739884,6,6.716763005780347
15,16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,28,14,0.3333333253968256,0.08823529393227879,12.222222222222221,38.63636363636363,43.525252525252526,12.222222222222221,170,476,2.2795454545454548,7,6.8977272727272725
16,17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,66,35,0.3069306900303892,0.08805579765644655,13.518987341772151,40.823970037453186,46.23156497416205,13.518987341772151,436,1147,2.3885767790262173,4,7.27808988764045
17,18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,57,37,0.2127659551833409,0.12668463594786436,8.275,32.62839879154078,35.938398791540784,8.275,216,742,2.1495468277945617,8,6.586102719033232
18,19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,33,0.33333332996633,0.09792284856783101,10.894117647058824,41.90064794816415,46.25829500698768,10.894117647058824,388,1011,2.42548596112311,2,7.314254859611231
19,20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,58,25,0.3975903566555379,0.09845788837668104,7.968085106382978,31.77570093457944,34.96293497713263,7.968085106382978,238,843,2.156208277703605,22,6.692923898531375
20,21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,53,26,0.34177214757250446,0.08161157016362441,10.126436781609195,35.8683314415437,39.91890615418738,10.126436781609195,316,968,2.2292849035187285,14,6.889897843359819
21,22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,26,0.2676056300337235,0.10042432800505753,9.712121212121213,34.945397815912635,38.83024630076112,9.712121212121213,224,707,2.21996879875195,31,6.819032761310452
22,23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,12,0.35135134185536915,0.08726415073758455,8.217391304347826,38.62433862433863,41.911295146077755,8.217391304347826,146,424,2.248677248677249,11,6.775132275132275
23,24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,61,37,0.24489795668471473,0.12083847087442852,10.753623188405797,34.23180592991914,38.533255205281456,10.753623188405797,254,811,2.223719676549865,20,6.862533692722372
24,25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,14,0.4615384526627221,0.12470023950911213,10.27027027027027,25.263157894736842,29.37126600284495,10.27027027027027,96,417,1.9526315789473685,2,6.28421052631579
25,26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,65,42,0.21495326901912834,0.09579230071997108,12.621951219512194,34.492753623188406,39.54153411099328,12.621951219512194,357,1117,2.22512077294686,10,6.742028985507246
26,27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,47,66,-0.1681415914323753,0.09463986591738704,9.756756756756756,31.671283471837487,35.57398617454019,9.756756756756756,343,1194,2.1745152354570636,0,6.611265004616805
27,28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,35,20,0.2727272677685951,0.07735583674070909,11.258620689655173,42.11332312404288,46.61677139990495,11.258620689655173,275,711,2.418070444104135,9,7.376722817764166
28,29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,31,24,0.12727272495867772,0.07513661191921228,8.037037037037036,33.333333333333336,36.54814814814815,8.037037037037036,217,732,2.161290322580645,6,6.6036866359447
29,30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,66,24,0.46666666148148156,0.11083743828714601,11.119402985074627,36.77852348993289,41.22628468396274,11.119402985074627,274,812,2.335570469798658,31,6.990604026845638
30,31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,67,23,0.4888888834567902,0.10044642845932318,10.061728395061728,35.828220858895705,39.852912216920394,10.061728395061728,292,896,2.263803680981595,14,6.9521472392638035
31,32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26,0,0.9999999615384629,0.08552631550813712,12.818181818181818,39.00709219858156,44.134364925854285,12.818181818181818,110,304,2.3652482269503547,0,7.273049645390071
32,33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,81,39,0.34999999708333335,0.16326530590031932,80.66666666666667,34.15977961432507,66.42644628099174,80.66666666666667,248,735,2.213498622589532,18,6.9986225895316805
33,34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,26,0,0.9999999615384629,0.04467353944214168,9.210526315789474,37.714285714285715,41.3984962406015,9.210526315789474,198,582,2.198095238095238,0,6.763809523809524
34,35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.4285714081632663,0.04772727261880165,9.731707317073171,45.86466165413534,49.757344580964606,9.731707317073171,183,440,2.468671679197995,0,7.458646616541353
35,36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.1428571224489825,0.04046242751177788,13.416666666666666,40.37267080745342,45.739337474120084,13.416666666666666,65,173,2.409937888198758,2,6.968944099378882
